"","x"
"1","A0A0A6YW77"
"2","A0A0G2JEG3"
"3","A0A0R4J0I1"
"4","A0A140LHR4"
"5","A0A1B0GT66"
"6","E9Q390"
"7","A0A2I3BQF4"
"8","A0A338P703"
"9","A0A494BBD8"
"10","A0A5H1ZRK8"
"11","A1BN54"
"12","A2A998"
"13","A2BIN1"
"14","Q58EV3"
"15","B7FAU9"
"16","B9EHJ3"
"17","H3BLI9"
"18","D3YYD0"
"19","G3X9T8"
"20","E9Q5F4"
"21","G3UX26"
"22","G3X8T3"
"23","G5E8C3"
"24","M0QWU8"
"25","O08692"
"26","P03953"
"27","Q80YX8"
"28","P07724"
"29","P08207"
"30","P08905"
"31","P10605"
"32","P11438"
"33","P11589"
"34","P14602"
"35","P20152"
"36","P20918"
"37","P21614"
"38","P28665"
"39","P29788"
"40","P31001"
"41","P48678"
"42","P51863"
"43","P52760"
"44","P67984"
"45","Q00897"
"46","Q06890"
"47","Q07456"
"48","Q3UER8"
"49","Q3UF75"
"50","Q5FW60"
"51","Q60604"
"52","Q60648"
"53","Q60932"
"54","Q61838"
"55","Q61847"
"56","Q62188"
"57","Q6P5H2"
"58","Q8BMD8"
"59","Q8BPB5"
"60","Q8K0B2"
"61","Q8R3G9"
"62","Q91X17"
"63","Q91X72"
"64","Q921I1"
"65","Q9CPN9"
"66","Q9CPX4"
"67","Q9CWF2"
"68","Q9CXW4"
"69","Q9D2G2"
"70","Q9JHF5"
"71","Q9JI48"
"72","Q9WV54"
