"","x"
"1","Q9QYB1"
"2","Q3TGF2"
"3","Q9CQR2"
"4","P14733"
"5","P49710"
"6","O89053"
"7","P0DOV1"
"8","E9Q4Q2"
"9","Q60591"
"10","A0A5F8MPB5"
"11","Q8C3J5"
"12","G3UXZ5"
"13","F6V8R7"
"14","A0A3B2W837"
"15","P17751"
"16","G3UZ30"
"17","Q64475"
"18","Q8BH43"
"19","H3BJ35"
"20","Q62418"
"21","A0A3Q4EGL6"
"22","Q80WJ7"
"23","E9QKA4"
"24","Q91XV3"
"25","A0A494BAC4"
"26","Q8VBT6"
"27","O55098"
"28","B7ZCL8"
"29","P20491"
"30","A0A0G2JEK2"
"31","F6UND7"
"32","Q8K124"
"33","Q8K1I7"
"34","P0DOV2"
"35","Q8CIN4"
"36","Q8K2Q9"
"37","Q9WUM3"
"38","P19973"
"39","P43276"
"40","O35601"
"41","G3UX99"
"42","Q9CQE5"
"43","Q8R0H9"
"44","P27661"
"45","O54824"
"46","P29351"
"47","Q6P9Q6"
"48","Q9D8Z2"
"49","Q3UM45"
"50","Q8C845"
"51","A0A0A6YWB0"
"52","P29341"
"53","P97825"
"54","Q62347"
"55","Q9Z1N5"
"56","Z4YKB8"
"57","Q9CQS8"
"58","O88569"
"59","O08915"
"60","Q8BP67"
"61","Q8CG29"
"62","P60840"
"63","P68404"
"64","Q60876"
"65","Q99LP6"
"66","E9Q5I9"
"67","Q9CRD0"
"68","A0A087WNP6"
"69","P80314"
"70","Q9Z0P5"
"71","Q61029"
"72","Q921T2"
"73","Q9D2V7"
"74","Q61792"
"75","Q8VIJ6"
"76","Q8VCF0"
"77","Q3UW53"
"78","Q8BPU7"
"79","Q9CYG7"
"80","Q9QXT0"
"81","P35564"
"82","Q61462"
"83","A0A087WQE6"
"84","P80315"
"85","Q9DBR7"
"86","A8XU21"
"87","A0A494B9X2"
"88","A0A0R4J1R7"
"89","Q9DCL9"
"90","O08997"
"91","Q91YS8"
"92","P26151"
"93","P04441"
"94","O08795"
"95","Q6A0A9"
"96","F7ADT6"
"97","Q9WTX5"
"98","H3BKX5"
"99","Q8BV49"
"100","P43274"
"101","Q99KV1"
"102","E9Q4B9"
"103","Q9D898"
"104","B7ZD13"
"105","A2ALF3"
"106","Q9CZD3"
"107","A2ADY9"
"108","P21279"
"109","Q8K003"
"110","Q00612"
"111","Q6ZQ38"
"112","Q3UJB0"
"113","P70460"
"114","P25911"
"115","P35821"
"116","P60710"
"117","O55022"
"118","A0A0R4J0Q5"
"119","A0A0B4J1E2"
"120","S4R1M0"
"121","P47758"
"122","P56394"
"123","P09103"
"124","Q6DFW4"
"125","P17095"
"126","Q60710"
"127","G5E829"
"128","Q99JY0"
"129","H7BX01"
"130","Q6ZQI3"
"131","P28271"
"132","A0A494B9X6"
"133","F8WJB9"
"134","A2AI52"
"135","D3Z041"
"136","Q6NZD2"
"137","Q9DCC5"
"138","P26645"
"139","Q99J36"
"140","Q9QYJ0"
"141","Q3U1Z5"
"142","Q8K310"
"143","P97807"
"144","D6RFU2"
"145","P43275"
"146","Q9DBC7"
"147","A0A087WR97"
"148","Q9CWJ9"
"149","E9Q0G1"
"150","Q9CPX6"
"151","Q9JKR6"
"152","Q8K4Z5"
"153","A0A571BEL9"
"154","P31428"
"155","Q9CQV8"
"156","Q99K94"
"157","Q5SUT0"
"158","P70315"
"159","Q921M7"
"160","Q60749"
"161","Q6ZWQ5"
"162","P49935"
"163","P15864"
"164","O70172"
"165","P70444"
"166","P47915"
"167","Q9EQP2"
"168","P35979"
"169","P11031"
"170","Q8K1B8"
"171","A0A0R4J2B2"
"172","A0A338P7E3"
"173","Q9CYA0"
"174","Q9WVK4"
"175","Q9D0J8"
"176","Q9R1P4"
"177","A0A0N4SVS6"
"178","P26041"
"179","H3BL37"
"180","Q08509"
"181","Q7M739"
"182","Q9JIW9"
"183","O35344"
"184","Q9R1T4"
"185","Q3U9G9"
"186","E9Q133"
"187","P40124"
"188","P62737"
"189","D3YW09"
"190","Q9D735"
"191","F6VVY4"
"192","P63330"
"193","P38060"
"194","O35295"
"195","A2AWQ2"
"196","Q80UE5"
"197","P08752"
"198","P59999"
"199","A0A1Y7VK19"
"200","E9QL31"
"201","Q3TUQ5"
"202","Q8JZN1"
"203","Q91VR8"
"204","O70145"
"205","Q9CPQ3"
"206","Q9CWK8"
"207","A0A1B0GRP7"
"208","P09671"
"209","Q91VW3"
"210","Q61599"
"211","O70250"
"212","Q9DC70"
"213","Q8BMS1"
"214","A2A813"
"215","P43277"
