"","x"
"1","A0A087WP24"
"2","A0A087WRE7"
"3","A0A0A0MQ68"
"4","A0A0A0MQC7"
"5","A0A0A6YVR9"
"6","A0A0A6YVY4"
"7","A0A0A6YX18"
"8","A0A0N4SV89"
"9","A0A0N4SVE1"
"10","A0A0R4J023"
"11","A0A0R4J052"
"12","A0A0R4J083"
"13","A0A0R4J094"
"14","A0A0R4J0I6"
"15","D3YTT4"
"16","A0A0R4J1H2"
"17","A0A0R4J1I9"
"18","A0A0R4J1J1"
"19","A0A0R4J1V0"
"20","A0A0R4J203"
"21","A0A0R4J275"
"22","A0A0U1RP68"
"23","A0A0U1RP81"
"24","A0A1B0GRV0"
"25","Q0PGA1"
"26","A0A1L1STE6"
"27","A0A3B2WBE1"
"28","A0A338P6X2"
"29","A0A494BA58"
"30","A0A494BB97"
"31","A0A571BEG4"
"32","A2A4U9"
"33","A2ADY9"
"34","A2AJ88"
"35","A2AJX3"
"36","A2AL50"
"37","B7ZCL8"
"38","A2ARV4"
"39","B1AQW2"
"40","Z4YKM2"
"41","B1ARU1"
"42","B1ASZ3"
"43","B1AU25"
"44","B2KF83"
"45","E9QAI5"
"46","D3YUM1"
"47","D3Z041"
"48","D3Z2J6"
"49","D3Z7C0"
"50","D3Z7G8"
"51","D3Z7Q2"
"52","D6RGQ3"
"53","E0CX65"
"54","E0CXN5"
"55","E9Q1J7"
"56","E9Q3V2"
"57","E9Q8N8"
"58","E9QMK9"
"59","E9QMX7"
"60","G5E8R3"
"61","E9QPK1"
"62","E9QPX3"
"63","F6QAU7"
"64","F6SQH7"
"65","F7ARZ1"
"66","G3UW41"
"67","G3XA66"
"68","G5E850"
"69","G5E8R2"
"70","H7BX01"
"71","K3W4R2"
"72","O08749"
"73","O08966"
"74","O09111"
"75","O09172"
"76","O09174"
"77","O54749"
"78","Q6ZWQ5"
"79","O88696"
"80","O88844"
"81","O88909"
"82","O88986"
"83","P08249"
"84","S4R191"
"85","P10852"
"86","P11352"
"87","P12787"
"88","P14246"
"89","P15105"
"90","P16332"
"91","P17095"
"92","P17563"
"93","Q9D881"
"94","P20108"
"95","P24270"
"96","P26043"
"97","P35486"
"98","P35505"
"99","P36552"
"100","P38060"
"101","P38647"
"102","P42125"
"103","Q9DCW5"
"104","P45952"
"105","P46656"
"106","P47199"
"107","P47738"
"108","P50171"
"109","P50285"
"110","P50518"
"111","P50544"
"112","P51660"
"113","P52196"
"114","P52503"
"115","P52825"
"116","P53395"
"117","P53986"
"118","P54071"
"119","Q8BTN3"
"120","P56382"
"121","P56389"
"122","P56391"
"123","P56480"
"124","P57016"
"125","P57746"
"126","P59017"
"127","P61027"
"128","P61922"
"129","P62075"
"130","P62737"
"131","P62814"
"132","P63038"
"133","P70404"
"134","P70441"
"135","P85094"
"136","P97314"
"137","P97379"
"138","P97450"
"139","P97807"
"140","P99028"
"141","Q03265"
"142","Q04646"
"143","Q04887"
"144","Q06185"
"145","Q07417"
"146","Q2TPA8"
"147","Q3TCD4"
"148","Q3TLP5"
"149","Q3TNA1"
"150","Q3U3G8"
"151","Q3U422"
"152","Q3UEG6"
"153","Q3UNZ8"
"154","Q3URE1"
"155","Q3USK2"
"156","Q3UU41"
"157","Q3UXD9"
"158","Q3UZZ6"
"159","Q3V0K6"
"160","Q3V0K9"
"161","Q59J78"
"162","Q5M8N4"
"163","Q5U5V2"
"164","Z4YJV4"
"165","Q61425"
"166","Q61578"
"167","Q62261"
"168","Q62425"
"169","Q62433"
"170","Q64433"
"171","Q64442"
"172","Q64462"
"173","Q6GQT9"
"174","Q6P3A8"
"175","Q6P8N8"
"176","Q6PB66"
"177","Q6PF96"
"178","Q6ZQI3"
"179","Q6ZQM8"
"180","Q78J03"
"181","Q7TNE1"
"182","Q7TNG8"
"183","Q80UM7"
"184","Q80Y14"
"185","Q8BFR5"
"186","Q8BGA8"
"187","Q8BGD8"
"188","Q8BGX2"
"189","Q8BGY7"
"190","Q8BH95"
"191","Q8BJ64"
"192","Q8BKZ9"
"193","Q8BMF4"
"194","Q8BMS4"
"195","Q8BP40"
"196","Q8BWF0"
"197","Q8BWM0"
"198","Q8BWT1"
"199","Q8C2Q8"
"200","Z4YK42"
"201","Q8CAQ8"
"202","Q8CAY6"
"203","Q8CBD0"
"204","Q8CFA2"
"205","Q8CG76"
"206","Q8CGK3"
"207","Q8CHT0"
"208","Q8JZN7"
"209","Q8JZV9"
"210","Q8K0D5"
"211","Q8K0L3"
"212","Q8K1Z0"
"213","Q8K215"
"214","Q8K2B3"
"215","Q8K2C6"
"216","Q8K3J1"
"217","Q8QZT1"
"218","Q8R086"
"219","Q8R0F8"
"220","Q8R164"
"221","Q8R4N0"
"222","Q8VCH0"
"223","Q8VCZ9"
"224","Q8VDK1"
"225","Q8VDN2"
"226","Q8VDT9"
"227","Q91V61"
"228","Q91VA0"
"229","Q91VA7"
"230","Q91VD9"
"231","Q91VJ5"
"232","Q91VM9"
"233","Q91VT4"
"234","Q91WS0"
"235","Q91X52"
"236","Q91XE0"
"237","Q91XE4"
"238","Q91XF0"
"239","Q91XH5"
"240","Q91Y97"
"241","Q91YP0"
"242","Q91Z53"
"243","Q91ZA3"
"244","Q921H8"
"245","Q922D8"
"246","Q925I1"
"247","Q99J39"
"248","Q99J99"
"249","Q99JB2"
"250","Q99JR1"
"251","Q99JY0"
"252","Q99K67"
"253","Q99KI0"
"254","Q99KR3"
"255","Q99L04"
"256","Q99L13"
"257","Q99LB2"
