"","x"
"1","A0A0B4J1G0"
"2","A0A0G2JEC4"
"3","A0A0G2JEK2"
"4","D6RDT4"
"5","A0A0R4J0B2"
"6","A0A0R4J0R1"
"7","A0A0R4J1L2"
"8","A0A0R4J1R7"
"9","A0A0R4J2B2"
"10","A0A1B0GT81"
"11","A0A1L1SRC3"
"12","H3BJ35"
"13","A0A2R8VHF9"
"14","A0A2R8VHT7"
"15","A0A3Q4EGL6"
"16","A0A494BBK3"
"17","A0A5F8MPB5"
"18","E9QKA4"
"19","A2APF7"
"20","A2ARQ2"
"21","A2BGN7"
"22","Q8JZN1"
"23","B1AT92"
"24","D3YXG6"
"25","E9PUD0"
"26","G3X922"
"27","E9PV44"
"28","E9PWE9"
"29","E9Q8S8"
"30","Q7M739"
"31","F8WI95"
"32","G3UWH0"
"33","G5E829"
"34","H9KV01"
"35","J3QP70"
"36","Q8C391"
"37","O35601"
"38","O54824"
"39","O55013"
"40","Q9DCC1"
"41","O70145"
"42","O89053"
"43","P04441"
"44","S4R1M0"
"45","P08752"
"46","P11031"
"47","Q542I8"
"48","P19973"
"49","P20491"
"50","Q1MX41"
"51","P31428"
"52","Q8C266"
"53","P35821"
"54","P49710"
"55","P63330"
"56","P70315"
"57","P80314"
"58","P97825"
"59","Q00623"
"60","Q04447"
"61","Q08024"
"62","Q08509"
"63","Q3TDD9"
"64","Q3TGF2"
"65","Q3U1Z5"
"66","Q3U9G9"
"67","Q60876"
"68","Q7TQE2"
"69","Q64152"
"70","Q6PB93"
"71","Q6PDY2"
"72","Q810S7"
"73","Q810U5"
"74","Q8BH24"
"75","Q8BH43"
"76","Q8BU14"
"77","Q8BV49"
"78","Q8C522"
"79","Q8C845"
"80","Q8CG29"
"81","Q8K003"
"82","Q8K0T0"
"83","Q8K124"
"84","Q8K1I7"
"85","Q8K2Q9"
"86","Q921K2"
"87","Q921Z5"
"88","Q99KP6"
"89","Q9CQ19"
"90","Q9CQN3"
"91","Q9CRD0"
"92","Q9D1Q6"
"93","Q9D8Y1"
"94","Q9D937"
"95","Q9QXT0"
"96","Q9R1T4"
