"","proteinIDs","iBAQ.as_g0_a","iBAQ.as_g0_b","iBAQ.as_g0_c","iBAQ.as_g1_a","iBAQ.as_g1_b","iBAQ.as_g1_c","iBAQ.wt_g0_a","iBAQ.wt_g0_b","iBAQ.wt_g0_c"
"1267","P62242",15292000,4496800,4697800,2445300,774060,1008800,199780,9911900,1700800
"1268","P62264;D3YVF4;D3Z7I1",30653000,7822200,20632000,8178300,3153800,2404900,349930,27433000,17710000
"1269","P62267",4194800,610920,1874600,186260,162760,0,37520,4708400,2199500
"1270","P62281;A0A1B0GRR3;A0A1B0GSE8",14942000,2994300,3157000,3196600,806990,744030,649760,15198000,11101000
"1271","Q921R2;P62301",93198,0,223530,70690,120350,74421,0,793740,59320
"1272","P62305",0,353830,181100,0,0,0,0,973880,773220
"1273","P62307",433630,304670,413310,377620,0,0,0,194940,175970
"1274","P62317",7652100,1887500,1847800,1426200,292680,183940,269690,6617100,5898200
"1275","P62320",0,0,138820,0,0,0,0,182970,0
"1276","P62334",0,90471,0,0,0,0,0,69033,0
"1277","P62627;A2AVR9",6716100,1267800,3186900,1879100,411100,237150,379780,5442100,5060400
"1278","P62702;V9GWY0",4043400,2065400,4993600,2604600,618660,982840,27620,6800700,2524700
"1279","P63330;P62715",637570,223590,211670,59785,0,0,58513,935200,491240
"1280","P62717;A0A1D5RLW5;A0A1D5RM85;A0A1D5RMC7;A0A1D5RM79;A0A1D5RME4",2085200,1217600,2250600,784110,93174,126880,0,3570200,1123200
"1281","P62737;P63268;A0A494B9T3;D3YZY0;D3Z2K3;A0A0U1RQ96",22873000,11576000,23236000,3244500,562330,388400,4793400,62608000,60513000
"1282","P62751",22608000,1648000,7362400,3153200,998930,75770,977730,14182000,16857000
"1283","P62754",9559900,1020800,1099600,1047400,465390,507400,558950,7682500,7303200
"1284","P62806",280040000,211090000,361480000,143230000,88098000,69238000,7990000,490760000,176360000
"1285","P62814",3777000,1814600,3058400,1573900,526840,758580,1308900,11321000,12932000
"1286","Q5SW88;P62821;Q5SW87;Q5SW86;A0A494BBL7",15658000,2168200,7264700,1668100,464030,272250,320780,6450000,11758000
"1287","P62827;Q14AA6;Q61820",4474500,558340,2336400,988350,103550,253370,29599,4676700,924560
"1288","P62830;A2A6F8",5466500,810520,2171500,699710,140360,131170,0,2191900,0
"1289","P62835;A0A0G2JDL9;A0A0G2JE52",236540,213980,363780,205600,59885,67492,0,968650,870730
"1290","P62849;A0A286YEB7",4137000,843750,1762100,883300,113650,236020,86514,2830000,1892600
"1291","P62855",1705100,0,0,0,144030,0,57120,912160,972610
"1292","P62858;G3UYV7",49727000,6913900,19326000,6482100,1125200,1780100,1212700,32166000,51655000
"1293","P62892",16294000,2528200,3152700,1959500,1115800,0,0,26394000,5634600
"1294","P62897;CON__P62894",116740,710390,304800,843020,731490,843470,68031,5727800,1453600
"1295","P62908;A0A140LI77;D3YV43",2849600,1399800,2044700,1080300,356830,369280,47922,3050300,1968300
"1296","P62911;P17932",3982500,3702500,3047600,2348600,493260,291550,103330,4523000,0
"1297","P62918",5155300,3728000,6354300,2176300,842410,636130,365770,9794300,5724100
"1298","P62960;A2BGG7;A0A0A0MQD2;B2RUF0;Q9Z2C8",15437000,802770,6791100,2277400,627700,580260,626740,12191000,10902000
"1300","P62983;A0A0A6YW67;E9Q9J0;E9Q4P0;E9Q5F6;E9QNP0;Q5SX22;P62984;P0CG49;P0CG50",4547400,411880,823400,153550,95424,150730,95969,5077400,2490000
"1301","Q3TLP8;P63001;P60764;A2AC13;A0A2R8VH29",14425000,5132700,9308600,3847500,1089900,1447800,289410,9603800,4865800
"1302","P63017;Q504P4;D3Z5E2;P17156;P16627",33134000,6253200,17732000,6204400,1636600,1831500,831590,37952000,24358000
"1303","P63024;A0A0N4SUV3;B0QZN5;D3YTU0;P63044;Q62442",18931000,2773800,10920000,1812900,804790,305190,94909,7890300,9912700
"1304","P63030;D3Z786;D3YWY6;D3Z5S0;E9Q0V4",6737000,7713600,7890000,2120900,0,41078,2418000,2781300,41389000
"1305","P63037;B1AXY0;B1AXY1",262670,164070,233270,164490,0,0,0,376210,449570
"1306","P63038;D3Z2F2;D3Z7J9",57049000,20615000,39886000,12326000,2854900,2307000,31561000,160070000,405210000
"1307","P63085;A0A338P781;A0A338P736",1273300,561390,1112100,299850,0,35694,0,1265100,308560
"1308","P63087;A0A0G2JGC1",110490,51875,84920,57161,0,0,0,144820,77526
"1309","P63094;Q6R0H7;Z4YKV1;A0A571BEI3;A0A571BEM2;A2A610;Q66L47;Q8CGK7;A0A571BEG2;A0A571BE25;A0A571BGH5",917310,401810,696150,138130,8936.6,0,0,667350,804390
"1310","P63101;A0A2I3BQ03;D3YXN6;D3YW45",156540000,27180000,52437000,21230000,4835000,2520900,4464000,62739000,62666000
"1311","Q9D0M5;P63168;Q80ZS7",2091800,1899500,5262900,3393500,324180,591730,45052,1785300,1324500
"1312","P63213",50406000,4128800,16295000,2221200,262300,188070,223750,5014800,18500000
"1313","P63260;B1ATY1;G3UYG0",1421800,384670,404360,44315,77929,613610,41046,4102700,162880
"1314","P63276",2183000,1397300,1296800,582330,0,0,0,4626300,1179300
"1315","P63325;Q3UW83;A0A338P7K4;A0A3B2W864;A0A338P731",15400000,497470,1818100,2576300,327400,133920,54645,12335000,15218000
"1316","P67778;Q5SQG5",2436900,6668500,9318900,3002400,369400,272610,946280,5575700,8289600
"1317","P67984",1019400,2879100,3992100,2606300,1141700,1630000,78479,3128400,643240
"1318","P68033;P68134;A0A1D5RM20",89890,0,0,0,0,0,0,481690,40405
"1319","P68040",636420,246060,371700,305800,0,0,0,465040,276280
"1320","P68254",24075000,3905800,5713700,4993000,1053100,983100,725150,16996000,19218000
"1322","P68372;Q9D6F9;Q922F4;CON__ENSEMBL:ENSBTAP00000025008;A2AQ07",16950000,14479000,18337000,9066900,2256200,1865100,782310,17389000,11930000
"1323","P68373",113760,203760,127320,124380,0,30560,0,158670,78819
"1324","P68404",1035200,107270,338880,50576,0,0,5213.7,795100,512350
"1325","P68433",0,0,0,0,0,554950,0,0,0
"1326","P68510",35742000,4327100,12007000,3842700,562790,946730,282570,7431400,13976000
"1327","P70168",3412200,497510,1372800,479430,63215,171310,74834,2273900,1847000
"1328","P70268;D6RH37",487680,0,68917,0,0,0,0,205460,74141
"1329","P70274",0,110100,99423,0,24258,0,0,0,0
"1330","P70315",1542600,182740,826470,0,0,0,17616,1162800,1154400
"1331","P70349;B0R1E3",23530000,3858800,7388200,6562100,1262800,1899900,2987200,42983000,32531000
"1332","P70372",592060,114990,274760,145270,48921,117790,0,231730,288100
"1333","Q4FE56;P70398",26266,8846.1,5262.9,0,0,0,0,12020,3454
"1334","P70404",71821,0,83773,62679,0,0,48477,1396000,362610
"1335","P70441",8479500,2373200,4794500,3588500,837730,1010300,2905600,21567000,36636000
"1336","P70444",811780,147340,204930,164390,0,0,0,689590,534370
"1337","P70445",9486000,331480,2369100,573390,92852,0,0,223970,6944100
"1338","P70452",1065600,230750,223760,64787,0,0,0,346410,318980
"1339","P70460",1832900,170030,1170900,134270,0,0,0,854380,568450
"1340","Q60817;P70670",1086900,0,298320,730400,92441,186580,106090,3653200,1233800
"1341","P70699",100790,23295,49786,34921,0,29528,0,24534,29326
"1342","P80314;A0A1W2P7B7;A0A1W2P6Q3;A0A1W2P8B6;A0A1W2P871;A0A1W2P828",722950,171540,395590,144070,5599.6,6718,60091,1371500,692880
"1343","P80315;G5E839;G3UYW5;G3UXF3;G3UXG2",1270000,219220,537800,225130,31046,15218,49208,969260,733930
"1344","P80316;E0CZA1",215060,25577,42656,23852,7430.7,0,0,629790,352650
"1345","P81117;Q3UKN6",2951600,218380,1338000,201460,19927,19900,0,1200300,912990
"1346","P83741;F6TAR7",103900,0,64258,0,0,0,4916.5,146040,72374
"1347","P83870",1457600,592460,863340,380150,0,0,94986,851380,1847400
"1348","P84089;A0A1W2P7H9;A0A1W2P7T3;G3UW85",15569000,3002600,343300,3804200,0,0,72417,2604400,10131000
"1349","Q3TWV4;P84091",149720,295450,560200,291380,47228,41453,0,85377,252850
"1350","P84096;A0A1B0GSL4",9534500,1449200,4779700,913390,44662,202620,45273,7221500,4021000
"1351","P84099;A2A547",18192000,4350400,11448000,4820700,1246000,1491600,907290,25059000,20065000
"1352","P84104",12300000,1592100,3842900,1654900,552300,473460,305360,5059400,8590400
"1353","P85094",4396700,2725300,4336600,1396800,364320,444400,7444100,20228000,61855000
"1354","P97310",0,0,53155,0,0,0,0,30757,36388
"1355","P97314;A0A1W2P845;A0A1W2P758;A0A1W2P7N8;A0A1W2P6I3;A0A1W2P780",1771200,1196000,1210500,1405500,433370,274160,597200,4602500,5927500
"1356","P97315",218690,195290,586680,1106700,397480,418350,46673,1816600,315010
"1357","P97333",187380,0,78851,0,0,0,0,54872,57392
"1358","P97351",5180500,1327000,4092800,1106600,267140,255860,138090,7316000,6162600
"1359","P97360",424810,0,110850,0,0,0,0,95366,137510
"1360","P97372;G3X9V0;E0CZ90",7836600,874010,1606500,156540,47227,18095,20054,3033600,2220400
"1361","P97379",0,0,0,0,0,0,17085,229620,294040
"1362","P97384;D3Z7U0",517710,959420,671460,518830,22926,0,26561,1640800,765430
"1363","P97449;A0A0U1RNS3",200220,85194,219400,140010,9940.9,24078,17355,75973,354530
"1364","P97450;E9QAD6",23831000,25613000,30212000,9826200,1435600,1816200,11219000,59458000,123330000
"1365","P97465",96882,0,0,11907,0,0,0,235910,80660
"1366","P97468",0,0,0,0,0,0,0,0,0
"1367","P97470;A0A0U1RQ43",207760,51963,76196,72756,0,25492,0,123220,36273
"1368","P97484",142520,0,53645,0,0,0,0,0,0
"1369","P97742;A0A494BAD3;A0A494BBF2;A0A494BAC7",358500,166810,251430,197250,46243,42810,59044,798210,746830
"1370","P97807;H3BKG7",5151300,1160400,3307400,899020,130580,140900,758120,12839000,27095000
"1371","P97825",5009000,217800,1127100,289600,0,0,233470,5105600,6842200
"1372","P97855",117670,0,0,0,0,12480,0,197870,70831
"1373","P97872",0,0,0,38827,0,0,0,58318,113150
"1374","P99024;A0A1D5RM76",2813400,1022500,1112900,681410,246390,635530,33343,3971000,713850
"1375","P99026",741100,505920,792610,399310,84342,112900,0,757750,487800
"1376","P99027;A0A5F8MPY2",3534500,1074000,4211000,1459600,371570,300250,775330,15322000,9197900
"1377","P99028;Q9D2Q7",34257000,35660000,44277000,11144000,1378600,1586600,20650000,86945000,303180000
"1378","P99029;H3BJQ7;G3UZJ4;A0A494BAZ4",8794200,3621700,6351200,5629300,1148300,1374000,1904200,40684000,17465000
"1379","Q00612;A3KG36;G3UWD6;P97324",2868500,252660,511110,234980,28156,0,25699,1497700,1075000
"1380","Q00623;A0A1L1STX7",1811000,396610,1265100,65923,0,0,33545,613140,560450
"1381","Q00897;P22599",354180,1551100,1347100,1212500,183480,123360,0,213290,0
"1382","Q00898",88274,506910,108800,662660,185430,125950,0,166700,0
"1383","Q00PI9;A0A494BAL6",2719000,354600,2003400,526590,82526,106510,63175,2449600,1763000
"1384","Q01853",8284500,1306600,3367000,1704700,237500,333470,248360,6016000,5193200
"1385","Q02013",617990,2238900,2125300,2203900,0,255030,0,578350,1829300
"1386","Q02053;P31254",3001900,736500,1258200,799980,182430,164480,145890,3125900,2574400
"1387","Q02257",0,0,0,8463.1,0,0,0,33874,0
"1388","Q02819;A0A1C7CYU3;A0A1B0GR41;A0A1B0GR92;A0A1B0GS16;A0A1B0GT83",3555400,2396600,4456100,890390,206040,187220,391590,2966400,8393200
"1389","Q03265;D3Z6F5;D6RJ16",42610000,37418000,48526000,17967000,4789800,8525400,19429000,127210000,266270000
"1390","Q03958;A0A3Q4EBT3;G3UYF9",1090800,185900,610840,49363,11586,0,0,705800,96671
"1391","Q04447",11045000,1525800,3466800,186850,260790,292320,761100,24317000,7752500
"1392","Q04646",1162500,587510,876950,284190,141940,143450,753030,7993500,21272000
"1393","Q04750",0,0,0,0,0,0,0,83278,0
"1394","Q04887",294450,92140,0,0,0,0,233010,253200,1952400
"1395","Q05144;A0A2R8VHH0",2184000,851220,1391600,661700,245400,267530,0,3183700,950620
"1396","Q05816",293890,0,0,263380,0,166930,0,0,0
"1397","Q06185;Q8BTB6",89485000,89098000,95950000,39340000,7032400,7181900,44157000,166620000,466510000
"1398","Q06318",4034900,1721700,4057000,3639900,1433000,970050,0,2274600,17311000
"1399","Q06890;E9Q9B8;E9PUU2;E9PXG5;E9Q8Y5;E9Q2G2",1034300,6725200,10363000,5502900,1041500,461580,0,33802,24364
"1400","Q07417",3874800,1114000,3698900,2280400,446730,337280,2424400,18065000,29749000
"1401","Q07456",225250,308890,512260,260150,124940,77828,0,94940,0
"1403","Q08024",578830,37685,393690,0,0,0,0,1495300,1511000
"1404","Q08093;D3Z7R6",201770,111270,545400,88392,38055,80650,0,829850,518760
"1405","Q08509",79472,0,39619,0,0,0,0,43649,45155
"1406","Q08761",0,188440,159670,0,33028,20002,0,0,0
"1407","Q08857;A0A0G2JFB7",479390,251610,169310,227490,0,0,43159,993550,753970
"1408","Q09014;S4R293;F8WH69",1842700,581830,1566900,455040,54838,0,64459,3119600,1817600
"1409","Q11136",0,0,0,0,0,0,0,0,0
"1410","Q80XR6;Q20BD0;Q99020",12442000,1495200,5380800,1949000,834740,680530,501590,11264000,9471200
"1411","Q2TPA8;B1AX78;B1AX77",1263600,238350,499960,252350,33864,16705,296600,2592200,5032500
"1412","Q3TC93",1238300,90243,570950,79691,22164,0,12648,423980,282570
"1413","Q3TCD4;Q9WUR2;E9PYC6;E9Q858;E9PUY9;E9PYA9;E9PVM6;E9Q7A8;E9PY42",0,0,55267,0,0,0,219030,612550,1616200
