"","proteinIDs","iBAQ.as_g0_a","iBAQ.as_g0_b","iBAQ.as_g0_c","iBAQ.as_g1_a","iBAQ.as_g1_b","iBAQ.as_g1_c","iBAQ.wt_g0_a","iBAQ.wt_g0_b","iBAQ.wt_g0_c"
"1","A0A067XG53;O70589",0,0,0,24903,0,0,0,94493,0
"2","A0A075B5P6;A0A075B6A0;P01872",504360,1491800,1365900,40226,87493,91895,0,0,70452
"3","A0A075B6A3;A0A0A6YXW6;P01878",347100,1738700,0,0,171700,0,0,0,0
"4","A0A087WNP6;Q4VAA2;A0A087WRM0;F8WGL9;A0A087WS49",4281400,437720,1823100,664950,0,38842,146490,3785800,4486900
"5","A0A087WQE6;A0A087WNT1;P83940;A0A087WPE4",1536100,315300,797470,230340,0,0,0,1736200,1038900
"6","A0A087WNU1;A0A087WPM0;Q3UQA7",0,0,0,0,132790,0,0,485030,0
"7","A0A087WNZ7;G5E870;A0A087WRV6",10282,0,0,0,0,0,0,16520,15186
"8","A0A087WP24;A0A087WRJ2;A0A087WPF8;A0A087WSR2;E9QN99;Q8VCR7",461950,192970,145970,445500,37673,183730,173710,1587500,4924400
"9","A0A087WRL3;A0A087WP81;Q9WUP7",63255,0,0,0,0,0,0,0,0
"10","A0A087WP83;Q8VDJ3;A0A087WPH2;A0A087WQY9;A0A087WPC5;A0A087WS92",486580,43503,174010,51144,0,12586,18441,268390,242540
"11","A0A0J9YU08;A0A087WPE8;Q6P3Z3",0,0,0,0,0,0,0,814140,747950
"12","A0A087WPL1;F7C957;Q8R1G6",0,0,0,375380,121470,119970,0,490480,189080
"13","A0A087WS03;A0A087WQ32;G3X9F1;Q9R1S3",603370,545280,390780,329330,89713,88534,10336,180540,434720
"14","F6WBA1;A0A087WR51;A0A087WQ89",0,0,0,0,0,0,0,0,166990
"15","A0A087WRU0;A0A087WQ94;A0A087WQM0;A0A087WQS0;A0A1D5RM59;E9Q0S6;A0A087WSC8",43952,0,0,11077,3290,0,11708,135940,122320
"16","A0A087WQT6;O89110",476390,90280,195950,0,0,0,0,354760,0
"17","Q4KL80;B7ZNJ1;A0A087WS56;B9EHT6;A0A087WSN6;Q3UHL6;A0A087WR50;P11276;A0A087WQW8",0,185520,254640,261110,24309,33771,0,0,0
"18","A0A087WR97;Q921F2;A0A087WSE4;A0A087WRZ5;Q8R0B4;Q8BLD4;Q6VYI5;Q6VYI4",9943200,683370,3652800,734640,151160,195740,218550,5459000,7134100
"19","Q05DJ9;A0A087WRC0;Q64514",87532,25373,98687,74760,0,0,0,78453,124910
"20","A0A087WRE7;Q8R0N6",0,0,115900,44706,0,0,106400,1413900,1657800
"21","Q62347;A0A087WRI6;Q01147",2258500,0,342770,230150,0,0,0,1102800,981770
"22","A0A087WRY3;Q80XU3",1825100,1850400,4092500,1158300,378350,65660,962070,13492000,12781000
"23","A0A087WRZ7;A0A0G2JDM3;E9PWG4;A0A0G2JDW2;P05977;P09542",13791000,5324400,15211000,3923200,840780,909700,436080,18316000,19753000
"24","J3QQ16;A0A087WS16;E9PWQ3",0,0,23584,0,0,0,0,0,0
"25","A0A087WS46;O70251",1281300,169800,653750,150680,0,41900,20257,351990,553380
"26","A0A087WSK7;Q9CQZ0;Q921I0",305050,61279,178280,88932,0,0,0,130480,216740
"27","A0A087WSM4;Q91XC8",8646000,455800,2296300,634660,117330,60024,0,3028200,4970100
"28","Q99K94;Q8C3V4;A0A087WSP5;P42225;A0A087WRI1;A0A087WSQ5;Q8CFQ1",141250,15646,36910,0,0,0,0,243600,70475
"29","A0A0A0MQ68;Q60759",243310,288100,397890,304220,59330,101630,630020,3361800,7309000
"30","S4R294;S4R2J9;A0A0A0MQ79;Q3TLH4;S4R2L9;S4R209",128130,0,0,26379,1648.5,0,4621.7,117320,99897
"31","A0A0A0MQ90;P97352",7542700,1159700,6388000,669580,104110,120820,79937,1829300,6124100
"32","A0A0A0MQA5;P68368;A0A087WQS4;A0A087WRB4;A0A087WSB0;A0A087WSL5;Q3UX10",52627,406070,0,615060,52682,0,26875,295180,253180
"33","A0A0A0MQC7;A2A5Y6;P10637",0,0,0,52108,20989,0,56250,497860,813100
"34","A0A0A0MQM0;P63242;J3QPS8;Q8BGY2",6477400,1254300,3097500,2467200,462470,638650,99863,3700200,773490
"35","A0A0A6YVR9;V9GXE6;P09925",204120,265400,202280,40404,0,0,83591,390850,1563400
"36","A0A0A6YVU8;Q9JKV1",4409400,327680,1407200,397100,114640,66493,109820,1557300,1878800
"37","A0A0A6YWB0;G3X9Q0;A0A0A6YVV8;Q9JKP5;A0A0A6YXP3;A0A0A6YXE3;A0A0A6YXL7;A0A0A6YWJ5;Q3TJQ3;Q3U570;A0A0A6YWG1;Q3U581;A0A0A6YXQ4;S4R267;Q8R003",2675800,670760,1691400,405490,72549,30274,91637,2390700,2353400
"38","A0A0A6YVY4;Q05AH3;E9QL10;Q9JLF7",1806800,400740,848600,348640,130010,27637,1181800,2651700,9763000
"39","A0A0A6YW77;P11672",0,867820,603030,620330,246610,123170,0,0,0
"40","A0A0A6YWH2;Q9EQX4",440890,0,0,946230,111580,0,0,1604300,741690
"41","A0A0A6YX70;A0A0A6YWH7;P32261",0,441010,514500,0,130770,181920,0,0,0
"42","A0A0A6YX05",0,417430,287100,294670,0,0,93068,157910,514410
"43","A0A0A6YX18;Q8BVE3;A0A0A6YWP6;A0A0A6YVU0;A0A0A6YW86",619220,233770,505320,461660,58611,104860,205860,4567900,4338800
"44","A0A0A6YX21;A0A0A6YY20;Q8VD57",0,0,0,0,0,0,0,347560,1901100
"45","A0A0A6YX26;P62900;A0A0A6YXL3",12563000,908980,6008900,2511000,705920,1153200,251090,10425000,8248200
"46","A0A1D5RM41;A0A0A6YXX3;A0A0A6YXL6;E9Q3Y4;Q9ESE1",0,0,0,0,0,0,0,0,18750
"47","A0A0B4J1E2;Q9CSN1",420040,52375,224040,44670,12665,0,10560,226360,459920
"48","A0A0B4J1G1;E9Q415;A0A0B4J1E6;P08101",1864800,0,185360,0,0,0,0,529640,0
"49","A0A0B4J1G0",328040,94438,282140,0,0,0,0,434490,202520
"50","A0A0G2JDI9;P55096",56043,190460,55657,172170,0,0,43195,179990,1090300
"51","A0A0G2JEF6;A0A0G2JGZ1;A0A0G2JDR6;A0A1L1SVG1;A0A0R4J169;A0A1L1SQW1;E9QN52;A0A0G2JEP4;A0A0G2JFV5;A0A1L1SSC0",474170,0,0,0,0,0,0,243630,0
"52","A0A0G2JFC8;A0A0G2JDV8;Q9DAW9;A0A0G2JFG3",0,0,0,0,0,0,0,835640,528940
"53","A0A0G2JDZ4;E9QNY3",1586500,232260,1993500,288740,52678,88636,0,571810,541540
"54","A0A0G2JE25;A0A0G2JGP4;Q9D091;P32883;P08556",236840,84433,0,121800,0,191170,0,347800,261290
"55","A0A0G2JE99;P01843",0,0,0,327630,743490,0,0,0,0
"56","A0A0G2JEA9;A0A0G2JFX7;Q9CWZ3",3833200,498970,2991800,876060,86181,90822,82716,2314500,1684600
"57","A0A0G2JEC4;Q9JK48;A0A0G2JE45;A0A0G2JF57",1055400,64396,355270,0,0,0,0,794070,225430
"58","A0A0G2JEF3;A0A1C7ZMY4;A0A0R4J0K1;Q9ERR7",2483100,1114100,3125500,867450,117240,0,0,1400700,1542200
"59","A0A0G2JEG3;Q8VE96",0,0,387130,240910,132200,141770,0,0,170920
"60","A0A0G2JEJ0;D9J2Z9;D9J300;D9J301;D9J302;Q8CI51;A0A0G2JGZ5;Q9CRA2;D9J303;F8WJI6;E9Q8P5",2477600,406500,798380,769720,231670,248290,42295,1372000,1164400
"61","A0A0G2JEK2;P63254",53224000,13686000,37488000,4197500,596950,375030,3157700,90617000,55599000
"62","A0A0G2JEP0;Q61584;A0A0G2JGH0;A0A0G2JGL6;A0A0H2UH27;E9QAS9;E9QAT0;D3Z6U8;E9QNF5;Q6AXB7;E9QAS8;Q6P5B5;P35922;Q9WVR4",219770,0,98188,44517,0,7656.3,0,209700,169760
"63","A0A0G2JEU1",492480,408560,401570,180740,22725,0,107070,466010,958400
"64","A0A0G2JGY8;A0A0G2JEY6;Q9D1R9",17356000,3161500,8401100,4309400,1491700,600260,1310000,19085000,25361000
"65","A0A0G2JFM9;E9PUK3;A0A5F8MPQ8;E9PUI5;Q8K012",0,0,0,0,0,0,0,0,0
"66","A0A0G2JG00;Q3TUE1;A0A0G2JGW9;A0A0G2JFY5;Q3UUU2;Q91WJ8;A0A0G2JFK2;A0A0G2JGV9",390990,0,0,76423,0,0,0,350760,291680
"67","A0A0G2JGQ5;A0A0G2JG10;Q497W9;O35286",237660,134920,0,0,36778,35156,0,561670,366780
"68","A0A0G2JG98;A0A0G2JGT5;A0A0G2JH04;P63073",1084300,0,509830,0,0,0,0,0,511290
"69","A0A0G2JGD2;P07091",9087700,2096700,4280000,370130,68944,34028,0,4774800,4833400
"70","D6RJ70;A0A0G2JGE1;Q71RI9",0,0,0,0,0,0,0,392840,0
"71","A0A0G2JGJ1;Q8BVI4;D3Z1A1;A0A0G2JGY0;D3YWR7;D3Z099",1749300,0,422650,229870,0,19650,300100,4673400,3854700
"72","A0A0G2JGU0",2806100,1267600,2136000,1606100,0,0,1309400,2817600,24105000
"73","A0A0H2UKC0;Q9JM90",207010,0,0,0,0,0,0,253920,75992
"74","A0A0J9YTU9;Q69Z99",0,0,0,0,0,0,0,126690,0
"75","A0A0J9YTY0;A0A0J9YUL3;Q8C1B7;A0A0J9YUV6;A0A0J9YVA6",1306400,240760,465660,295120,0,0,20123,529360,316910
"76","F8WIC2;A0A0J9YUI1;A0A0J9YU07;D3Z4U3;P61087",2321600,429530,842600,0,0,0,0,1194000,1261600
"77","A0A0J9YUM4;A0A0J9YU62;O88712;A0A0J9YU66;A0A0J9YVI3;A0A0J9YUR5;Q91YZ2;P56546",547290,89847,272860,115510,30245,19554,0,393220,395950
"78","A0A0J9YU79;E9Q1Q9;P97328;A0A0J9YTU1;A0A0J9YUK6",5625700,124130,2494900,236590,105330,47086,85198,1344300,994060
"79","A0A0J9YUZ4;P63158;A0A0J9YUD8;D3YVC6;D3YZ18",31136000,4343200,22334000,6157200,2786100,1722500,1024200,42845000,18263000
"80","A0A0J9YVJ6;E9Q9A5;G5E8N7;Q9JLV6",48673,0,0,0,0,0,0,32796,0
"81","A0A0N4SUH8;Q9QZ23;D3Z285",413870,0,203850,0,0,0,0,80299,203500
"82","A0A0N4SUM3;Q91V01",0,0,203750,79726,0,0,0,0,141990
"83","A0A0N4SUT8;A0A0N4SVH5;A0A0N4SVW1;A0A0N4SUV7;Q91YP3",327670,0,0,0,0,0,0,0,0
"84","A0A0N4SV00;P80313;A0A0N4SV22",563750,173270,391180,112210,0,13245,0,670620,234560
"85","A0A0N4SV32;Q3UMP4;Q9CY58;A0A0N4SUQ1;A0A0N4SUN8;A0A0N4SWH2;A0A0N4SVK5;A0A0N4SV40",18241000,1502700,6271900,1895200,603860,209250,436430,11391000,10738000
"86","S4R1F2;D3Z0S1;A0A0N4SV57;A0A0N4SW89;P97429;F7ANV6",16215000,4363000,9326400,5040900,1335700,880740,579850,8428600,11374000
"87","A0A0N4SV66;Q8R1M2;Q64522",18522000,12231000,22169000,7196700,4878500,2457000,888410,23433000,11829000
"88","A0A0N4SV89;Q5XKN4",706090,311820,299560,89445,0,0,55819,444820,1653600
"89","A0A0N4SVA6;Q3U3K9;P70295",137410,0,58048,44630,0,0,17755,91275,60150
"90","A0A0N4SVB8;Q9CQW2;F6QKK2;Q8VEH3",3624800,1373700,2948000,977100,679140,837650,0,3086900,1119000
"91","A0A0N4SVE1;F7B2B4;Q9D1K2",2047300,483350,864200,590270,66478,342070,708170,8182200,6108200
"92","A0A0N4SVE2;A0A0N4SVL9;Q9CQR6",260040,279300,368380,195830,0,0,0,800940,145780
"93","A0A0N4SVL6;A0A0N4SW85;P51908;D3Z675",1344400,270860,400640,166200,0,0,0,778700,165870
"94","A0A0N4SVS6",16856000,1100000,4771900,1984000,403410,289010,1015300,17756000,25008000
"95","A0A0N4SW73;Q8R361",109520,0,55544,31363,0,0,0,38202,45018
"96","A0A0N4SW94;O35682",3955500,2343800,2579700,1806400,453240,0,103060,2108900,4972800
"97","A0A0R3P9C8;Q9DC69",650330,1446800,2276900,926520,103340,13522,326960,1622700,4239900
"98","A0A0R4IZW5;P09803",0,53658,105850,54822,0,0,0,225940,216780
"99","A0A0R4J1C2;A0A0R4IZW8;O88456",3715100,197320,1088500,480730,96136,71641,0,1214600,539850
"100","A0A0R4IZW9;Q9DCT5",0,0,0,0,0,0,0,198350,314130
"101","Q6NS54;A0A0R4IZX2;Q9JHL1;A0A3Q4EHM9;A0A0R4J006;A0A3Q4EBU8",185050,126150,0,2994300,827640,486770,0,660700,578010
"102","Q8BQ10;A0A0R4J008;O09106;P70288",668460,306210,501880,135990,25504,30835,0,508040,0
"103","A0A0R4J023;Q9JLZ3;F6RT60;F6R307;A0A0R4J1L8;E9Q6L3;E9QMT1",307240,67554,138180,91423,0,0,412500,2335400,2401300
"104","A0A0R4J032;P06683",40879,109490,207890,78703,0,0,0,0,0
"105","D3YTY9;A0A0R4J038;O08677",0,174180,0,68911,0,0,0,0,0
"106","A0A0R4J039;Q9ESB3;A0A338P6H8",0,423110,725290,0,0,89682,0,0,0
"107","A0A0R4J043;P28825",172940,1352600,1537700,1157600,89833,61421,6955.3,250750,833840
"108","A0A0R4J052;G5E8T9;Q99KB8;E9PYA3;E9Q2H8;D3YUX8;D3YWI0",6105900,1674900,2946400,1091000,292760,39706,1205200,11169000,23673000
"109","A0A0R4J078;Q8VCH8",108860,0,72431,0,0,0,0,115080,77674
"110","A0A0R4J083;P51174",8153200,5725500,10864000,6199700,938890,1054200,4138600,32455000,66369000
"111","D6RDT4;A0A0R4J091;Q9JKP7",521170,0,315180,0,0,0,0,310230,294560
"112","A0A0R4J094;Q3TC72",180860,213000,261590,0,0,32788,523530,4732400,3750100
"113","A0A0R4J0A0;F6W2Q5;Q5JC28;H3BK65;P42567",190570,0,0,0,0,0,0,76165,0
"114","A0A0R4J0B2;Q8VCI0",724990,220790,481820,39584,0,0,0,403310,104340
"115","S4R2E1;A0A0R4J0B6;Q7TMS5;D3Z150;A0A0N4SWA2;D3YVG8;D3YZX5;S4R2M4",62445,262360,284260,211450,39988,75741,98125,960190,1685500
"116","A0A2I3BRX1;A0A2I3BQL9;A0A2I3BS39;A0A0R4J0G0;Q8BH04;A0A2I3BQC6",34244,332310,123720,128920,0,0,22414,172650,65420
"117","A0A0R4J0I1;P07759;Q03734;D3Z450;G3X8T9",497770,4261800,3723100,3291300,505350,331990,0,146780,0
"118","A0A0R4J0I6;Q80XL6;D3YTQ5;A0A087WSI8;F6U473",136920,26306,0,45402,2478.7,0,56275,419850,1862600
"119","A0A0R4J0I9;Q91ZX7;D3Z5M3;Q3U5J2",522150,84332,311110,37851,4992.6,8231.2,0,158890,124940
"120","A0A0R4J0M9;Q8CDG3",10877,0,0,0,0,0,0,14595,0
"121","D3YTT4;A0A0R4J0P1;Q9D7B6;A0A1L1SUG2",217260,108370,135500,142040,6100.8,5875.2,136230,1162100,1573200
"122","A0A0R4J0P7;Q78KK3",0,0,0,0,0,0,0,0,96269
"123","A0A0R4J0Q5;P21619",1742100,151920,895070,169950,44865,29771,34857,1319900,1612800
"124","A0A0R4J0R1;O70404;A0A0U1RPE8",20891000,1974100,6753100,491270,152120,311850,442050,6791400,10665000
"125","A0A0R4J0S3;Q924D0;D3Z792",64505,0,47113,0,11942,0,18375,156200,350750
"126","A0A0R4J0T0;Q8K3A0;F6UL52",28252,0,0,0,0,0,25192,335640,307750
"127","A0A0R4J0T4;Q5D0E0;O88351;F6XPL0",53702,24740,34491,19162,0,6753.5,0,66965,39319
"128","A0A0R4J0Z1;P08003",91289,0,55504,38086,0,10190,0,164890,51797
"129","E9QL31;A0A0R4J104;P98078;E9PX84;Q3TRE6;F6TQN9;Q9DCE6;E0CXT5;E0CZ53;E0CYJ2",4820100,364670,1812700,564000,15977,100440,127910,4695500,3917200
"130","A0A0R4J107;Q8R146;A0A0A6YXV0",0,0,0,0,0,0,0,76737,0
"131","A0A5F8MPC5;A0A0R4J150;B9EJ86",0,0,0,0,0,0,0,58554,76753
"132","G3UX35;A0A0R4J170;Q3TKT4;A0A140LID0;H3BKN5",61367,8923.5,20989,0,0,0,0,25428,29394
"133","F7DAY5;F6YB25;A0A0R4J195;Q9CSU0",0,0,71884,0,0,0,0,1374100,0
"134","A0A0R4J1B9;G3X9M0;Q9ER88;G3UWM7;G3UWZ6",0,68168,135320,36905,0,0,40016,392570,766180
"135","A0A0R4J1C8;P31996",3786000,74289,1860200,93673,933300,1108300,0,1348500,1010800
"136","A0A0R4J1E3;Q9QXS6",0,0,0,59408,0,0,0,111870,0
"137","A0A0R4J1H0;Q3KNM2",0,0,0,0,0,0,0,0,0
"138","A0A0R4J1H2;E0CXF4;E0CZG7;Q8QZY2",243510,47903,43665,0,0,0,71794,760710,1838100
"139","A0A0R4J1I9;Q8CFZ5;F7A0H7",0,0,125360,0,0,0,101660,568250,1069600
"140","A0A0R4J1J1;Q69ZP3",0,0,0,0,0,0,106390,689570,1532400
"141","A0A0R4J1L2;D3Z7N2;Q91VK2;F6ZFU0;D3YZT9;D3YY68",1782400,250910,661150,0,0,45234,45827,982770,957340
"142","A0A0R4J1N3;E9QP56;P33622",0,0,0,0,0,0,0,0,0
"143","A0A0R4J1N9;P40630;D3Z0F3",0,30864,75579,0,0,0,0,1037500,267530
"144","D6RE33;A0A0R4J1Q0;G5E896;Q3UJB9",50395,0,0,0,0,0,0,19136,0
"145","A0A0R4J1R7;Q9CZL5",835810,103440,662870,100750,0,0,125510,1404900,1726600
"146","A0A0R4J1V0;Q9JIL4;D3YZS9;D3YW13;D3Z114",200030,130550,129590,392720,149680,442910,636410,5273500,8919300
"147","E0CXW7;E9QMF4;A0A0R4J1Y3;Q8BWU5",0,0,0,0,0,0,0,231620,0
"148","A0A0R4J203;P18894;A0A0G2JFX0;Q91WH3",89221,175690,308650,427510,84681,105880,836830,1993800,4552100
"149","G3UXJ6;G3UZ48;G3UZI2;A0A0R4J259;G3V018;Q7TMK9;G3UWM1;G3UXU5;S4R1E9",80197,0,49892,71631,19155,0,0,158310,0
"150","A0A0R4J263;O35083",62521,0,51511,68535,0,0,0,96350,0
"151","A0A0R4J275;Q7TMF3;F6RBR6",2115000,2041500,3935200,511100,85483,109550,1199500,7700000,13107000
"152","A0A2I3BRW9;A0A2I3BS02;A0A2I3BQN2;A0A0R4J293",0,0,0,0,0,0,0,423400,881300
"153","A0A0R4J2B2;Q6WVG3",30204000,2611800,5589200,675950,179550,45291,422340,7258200,9969100
"154","A0A0R4J2D3;Q8BI84",26348,0,0,0,0,0,0,0,30254
"155","A0A0U1RNI5;Q923I7;A0A0U1RNI8",140630,358560,241340,112860,0,0,91387,850440,1240200
"156","D3Z7R0;A0A0U1RQ97;A0A0U1RNL7;A0A0U1RPT4;O55028",0,0,0,0,0,0,0,105250,159100
"157","A0A0U1RNM2;A1L3S7;Q8VHR5",0,0,0,96230,0,0,0,198390,0
"158","A0A0U1RP68",0,0,0,0,0,0,126100,81385,232510
"159","A0A0U1RP81;A0A1B0GX08;E9PVS5;A0A0U1RNN9",168940,0,0,0,0,0,20283,471360,842700
"160","A0A0U1RPJ7;D3YVR9;Q9R0P4",0,0,668090,0,0,0,0,709180,0
"161","A0A0U1RPM2;P16879",318720,23502,109080,0,0,0,0,68348,63414
"162","A0A0U1RPY6;Q9JKW0",1045500,298210,1059100,359650,0,0,149140,592770,2987400
"163","A0A0U1RQ20;Q9EPB4",9428600,1136400,800660,227740,16436,0,76206,688930,2224300
"164","A0A140LHE6;P70671",0,0,0,0,0,0,0,156640,0
"165","A0A140LJG6;A0A140LHR3;A0A140LJ01;A0A140LHG8;Q9CYN2",6615900,1788300,4062900,1028800,81636,0,603320,2018900,7114700
"166","A0A140LHR4;P19324;A0A140LHK0",453250,1803900,2393400,982290,343030,349910,114020,1036300,1205700
"167","E9PWA1;A0A140LII6;A0A140LII3;E9Q5Y2;E9PUZ3;E9Q1I7;Q8BGJ9",682150,0,0,0,0,0,0,0,0
"168","A0A140LIQ1;A0A140LIJ2;A0A140LJ29;F8VQ95;A0A140LIQ6;E9QL08;E9Q9Z4;E9Q8T1;Q6Y685",0,0,0,0,0,0,0,0,0
"169","A0A140LIU3",0,0,0,0,0,0,113330,0,2023800
"170","A0A140LJ08;Q80XR5;P26369",1437000,0,951300,249400,0,0,0,994220,1382300
"171","A0A140LJ59;Q9DBZ5;Q3TY56",908280,473840,898300,392980,0,0,0,1243000,1181600
"172","A0A140T8J4;Q9R257",716600,113030,296140,334960,0,56637,0,167060,224860
"173","A0A1B0GRB5;A0A1B0GRA7;B2RQL0;A0A140T8J8;A0A1B0GSX7;Q6PFD9",0,0,0,0,0,0,0,47594,0
"174","A0A171EBL2;E9Q555",77926,0,27223,4818.9,0,0,0,0,0
"175","A0A1B0GSF7;A0A1B0GQU8;P35980;A0A1B0GSS8;A0A1B0GS28;A0A1B0GRZ3;A0A1B0GSA8",25857000,4215000,11124000,3164700,897900,1218300,231940,29368000,17611000
"176","A0A1B0GQZ1;A0A1B0GSZ9;O35972",491720,0,213570,0,0,0,39719,693310,395540
"177","A0A1B0GR11;Q93092",20251000,4142600,14085000,5361700,866010,1008700,490990,21730000,11616000
"178","A0A1B0GR19;A0A1B0GR86;Q8BH97;A0A1B0GRI0;A0A1B0GS22;A0A1B0GSK5",210370,119800,614620,0,0,0,0,0,0
"179","A0A1B0GT75;A0A1B0GR63;Q9DB34",580740,0,329570,304510,0,0,0,1517300,206550
"180","A0A1B0GSW4;A0A1B0GRC5",1269700000,53848000,469060000,110960000,3382700,0,2974700,49807000,494980000
"181","A0A1B0GRG1;A0A1B0GRT5;P62071;P10833",109820,0,0,0,0,0,0,114650,0
"182","A0A1B0GRJ5;D6RG99;Q9WV96",0,0,486760,0,0,134610,338090,2036200,3943500
"183","A0A1B0GRP7;Q9Z2Y8;A0A1B0GRR5;Q6P8V7;A0A1B0GQY5;Q80ZV3;A0A1B0GSA1;A0A1B0GSP5",3247200,134230,810690,435050,0,0,458650,2496100,6751400
"184","A0A1B0GRV0;Q9Z0S1;D3Z5X0;D3Z0E6",710590,339840,378240,332590,68240,41171,509340,4059800,12112000
"185","A0A1B0GSR4;A0A1B0GRW3;Q9WTM5;A0A1B0GT54",1696400,387120,733040,397870,58103,73001,60644,1246400,1676000
"186","A0A1B0GRX1;P70677",2546500,172850,1420400,116190,97811,0,34447,1157800,1248000
"187","A0A1B0GSR9;P06151;A0A1B0GSX0;D3YZQ9;A0A1B0GT41;A0A1B0GQX5;A0A1B0GSL7;A0A1B0GRC1;A0A1B0GRS2;A0A1B0GRW9;A0A1B0GS79;D3YVR7;D3YZE4;P00342;A0A1B0GSR2;A0A1B0GRE9",7773700,1517500,2794000,1825700,456620,920810,312540,5024600,5093900
"188","D3Z0B9;A0A1B0GSU0;Q571I9",255490,128500,278380,0,0,0,0,612410,117890
"189","Q0PGA1;A0A1B0GSV7;Q05421",35711,0,26145,36676,0,0,121950,171790,229330
"190","A0A1B0GT66;F6Y6L6;F8WIR1;P18242",3155200,885840,3922200,6342300,1109000,2958600,81337,1368200,516010
"191","A0A1B0GT68;Q99J93",106810,0,0,0,0,0,0,0,0
"192","A0A1B0GT81;Q07813;A0A1B0GS13;A0A1B0GTA4;A0A1B0GT35;A0A1B0GSH8",1306200,386620,793700,0,0,0,0,848870,218470
"193","A0A1B0GX27;O35855;O88374;A0A1B0GQY4;A0A1B0GST1",0,166930,463910,175100,21054,0,55269,1885600,675820
"194","A0A1C7ZMZ5;P21765;P46412",308910,162620,111150,0,0,0,0,179930,134850
"195","A0A1D5RLL3;Q8BG67",65942,0,0,0,0,0,0,0,0
"196","A0A1D5RLM8",13910,20733,32862,8464.3,0,0,1731.3,0,28263
"197","A0A1D5RLP7;P59158;A0A1D5RLX1",0,62912,78526,128970,0,0,112650,566830,2488900
"198","A0A1D5RLR6;P08030",2174900,0,278750,389170,0,96427,82868,1721800,607940
"199","A0A1D5RLV7;G3UYW1;Q6VNB8",125230,8302.8,8900.4,7542.9,0,0,6301.2,12493,40889
"200","A0A1D5RLY6;Q8C052",104900,25588,51175,14743,0,0,5810.5,366530,112370
"201","A0A1D5RLZ9;E9Q0I4;Q8CG65",2133800,124860,519790,120300,22630,0,11440,0,412630
"202","A0A1D5RM07;A0A1D5RM58;A0A1I7Q4G8;E9QMN5;Q8CHY6",238330,0,0,0,0,0,0,0,126560
"203","A0A1D5RMC1;Q6PDL0;A0A1D5RM94",937960,111190,403720,121810,18676,0,34397,799570,922700
"204","A0A1D5RMI0;F8WHV1;Q9D187",715120,0,343250,0,0,0,0,0,0
"205","F8VQ28;A0A1D5RMM8;Q8VI36;A0A0J9YV30",216990,0,35740,86145,0,0,0,491610,480300
"206","A0A1I7Q4A1;Q8BI72",409960,0,0,192700,0,0,0,134540,136700
"207","A0A1L1SQ79;Q3UIL6",0,0,0,0,0,0,0,0,18897
"208","A0A1L1SQA8;P62852",11433000,4057100,6492800,2542700,567370,670490,460420,9899100,9625800
"209","A0A1L1SR69;A0A1L1ST61;A0A1L1SV00;Q8R472;Q9JLR9",563170,2247000,2088900,0,207820,0,43591,6283700,11451000
"210","A0A1L1SRC3;Q9CQT2",170490,0,122630,0,0,0,0,220210,268320
"211","A0A1L1SRH5;A0A1L1SUX1",166310,0,44704,437860,113100,0,199450,123630,852180
"212","A0A1L1SRL0;A0A1L1STF9;Q8CH25",931830,0,320480,0,0,0,0,921260,851540
"213","D3Z685;A0A1L1SS23;D3Z6K8;P70392",620660,0,0,0,0,0,0,0,0
"214","A0A1L1SSA8;Q91XE8",295490,237670,285490,322310,71576,103390,0,710100,1509700
"215","A0A1L1SSV6;A0A1L1SST5;Q9CQC8",178310,0,79772,0,0,57339,0,88021,0
"216","A0A1L1STE6;Q9D6R2",11279000,6283400,16026000,3524300,688740,520190,3064500,37673000,1.03e+08
"217","A0A1L1STZ1;A0A1L1SU22;Q9D1P4;A0A1L1STQ1;A0A1L1SSG7",2443800,263100,1049400,158540,36584,17663,22408,1974700,0
"218","A0A1L1SV25;P57780;E9Q2W9;A0A1L1SVJ6;D3Z0L8;Q9JI91;O88990;D3Z761",212040,295250,566330,1487500,535970,372880,282730,705670,235400
"219","A0A1L1SV73;Q8BY87",31601,0,9123.1,0,0,0,0,19796,33451
"220","A0A1L1SV84;Q9D083",823280,337710,621490,390510,216720,216550,0,1734100,637970
"221","A0A1L1SVB6;E9QMU3;D3YWN7;O88735;A0A1L1SUN4",103520,363180,573950,0,0,0,82430,0,9491200
"222","A0A1L1SVD8;Q9JHS9",4805900,523680,818280,826420,0,133800,146930,3688100,4293500
"223","A0A1W2P6F6;A0A1W2P7Q9;Q60605;Q8CI43",22365000,16498000,34323000,6957700,2048600,1355200,2320200,50773000,35025000
"224","A0A1W2P6G5",0,0,162260,0,0,0,0,2720300,0
"225","A0A1W2P6K9;Q9JI99",0,0,0,0,0,0,0,128090,0
"226","A0A1W2P6N0;A0A1W2P788;P45700",0,0,194460,0,0,0,0,0,113790
"227","A0A1W2P855;A0A1W2P7Z8;A0A1W2P7H4;A0A1W2P6Q8;Q6A068;A0A1W2P7S8",32451,0,0,0,0,0,0,29760,0
"228","A0A1W2P6X3;Q9JL26;A2AB60;G3UWI1;E9PXE6;F8VPR2;A2AQW2;A2APV2",895580,134930,249460,89582,0,9454,0,548160,323590
"229","A0A1W2P701;Q6P8X1",723960,261990,331410,431790,29688,0,77903,603240,407270
