"","x"
"1","Q91WG2"
"2","P48771"
"3","Q99KP3"
"4","Q6GT24"
"5","Q9CPV4"
"6","B1ATL6"
"7","O70570"
"8","Q78IK2"
"9","Q8VE37"
"10","Q9DBT9"
"11","G3UXT7"
"12","Q8BGV3"
"13","F7B227"
"14","P60904"
"15","Q64345"
"16","E9QN70"
"17","A0A3Q4EH04"
"18","P67778"
"19","P28474"
"20","Q8R1I1"
"21","Q60817"
"22","Q9Z2D6"
"23","Q9DAC2"
"24","A0A5F8MPW8"
"25","O35129"
"26","P01027"
"27","Q91WR5"
"28","P55264"
"29","Q9EQ21"
"30","P14131"
"31","Q8VIM4"
"32","P26040"
"33","A0A2I3BRX1"
"34","P30115"
"35","Q8BPW9"
"36","A0A3B2WDD2"
"37","E9Q6U4"
"38","Q8BPI2"
"39","Q9ESJ4"
"40","Q99P87"
"41","F8WJ05"
"42","P10922"
"43","Q920R6"
"44","A0A0A6YX05"
"45","P61804"
"46","A2AQ52"
"47","J3QMG3"
"48","P62855"
"49","Q3UB58"
"50","A0A0A6YX26"
"51","P62754"
"52","Q9QZM0"
"53","Q8VEM8"
"54","P50637"
"55","P01132"
"56","Q8BLF1"
"57","Q8CAY6"
"58","Q7TNV0"
"59","Q9Z2Z6"
"60","Q9CZ44"
"61","O88543"
"62","P60843"
"63","Q8VDM6"
"64","Q80X50"
"65","Q7TNS2"
"66","A0A1B0GR19"
"67","E9Q7G0"
"68","Q9QXN5"
"69","G3X9H5"
"70","Q8C165"
"71","G3V010"
"72","P56393"
"73","Q61838"
"74","Q9D0M3"
"75","Q8R050"
"76","Q3TKD0"
"77","O89023"
"78","P11881"
"79","Q63829"
"80","E9Q7G1"
"81","P17665"
"82","P51661"
"83","D3Z521"
"84","G3UZR1"
"85","Q8K0E8"
"86","O88792"
"87","Q8BU25"
"88","O08583"
"89","Q91XD6"
"90","Q8BJY7"
"91","D3YX76"
"92","P29788"
"93","Q9CPZ8"
"94","Q80XR6"
"95","E9QAH1"
"96","P60229"
"97","A0A0G2JEP0"
"98","Q9QUR7"
"99","P15105"
"100","A2ATT9"
"101","Q8CHP5"
"102","Q6P8I4"
"103","D3YYD0"
"104","Q9JHJ0"
"105","G3UX74"
"106","A2AFS1"
"107","G3X8U3"
"108","A0A0R3P9C8"
"109","Q8R2Q8"
"110","P06728"
"111","E9PWK1"
"112","Q9CXW3"
"113","A0A1L1SRL0"
"114","A0A0A6YWH2"
"115","E9QN08"
"116","Q9DBC0"
"117","S4R1M2"
"118","Q7TNC4"
"119","A0A0R4J032"
"120","Q99KC8"
"121","J3QN31"
"122","A0A0R4J1C8"
"123","Q9D8L3"
"124","Q9ERU3"
"125","D6RFU9"
"126","Q61191"
"127","A2A5G4"
"128","A0A0G2JG00"
"129","Q9Z1T1"
"130","Q5XJY5"
"131","A2AEG6"
"132","E9Q9C5"
"133","Q99KH8"
"134","A0A2I3BR03"
"135","Q9CX00"
"136","P00920"
"137","P09411"
"138","P62960"
"139","Q9D024"
"140","V9GXI0"
"141","Q9JII6"
"142","Q3V441"
"143","F6UXY4"
"144","Q9R0A0"
"145","Q9DBS1"
"146","Q9CQ65"
"147","A0A1B0GSR9"
"148","B1AYG7"
"149","Q8BH61"
"150","Q8BH24"
"151","Q8JZN7"
"152","Q8BTS0"
"153","Q80X90"
"154","Q8CIH5"
"155","P70349"
"156","D3YUK4"
"157","D3Z7P3"
"158","A0A1D5RLM8"
"159","D3Z7X0"
"160","G3UXY7"
"161","Q9CQH3"
"162","P70274"
"163","P17182"
"164","A2A998"
"165","E9QNH7"
"166","A0A2I3BRW9"
"167","Q9D6S7"
"168","Q9R1J0"
"169","A0A0H2UKC0"
"170","Q7TPV4"
"171","Q9QXD6"
"172","Q80TM9"
"173","Q9JMH6"
"174","E9Q5F4"
"175","Q9Z110"
"176","Q8BI08"
"177","O08738"
"178","P01592"
"179","Q91VR5"
"180","Q6GV12"
"181","P51859"
"182","Q8BMD8"
"183","Q61937"
"184","O70503"
"185","G3X956"
"186","A2AKI5"
"187","Q8C522"
"188","Q5SS83"
"189","A0A2R8VKS6"
"190","Q8BZ00"
"191","P48962"
"192","P45376"
"193","Q9DBJ1"
"194","Q8K3H0"
"195","F7CUQ1"
"196","A2AQR0"
"197","A2AAW9"
"198","A0A087WNZ7"
"199","F6UYN4"
"200","Q91WU5"
"201","O88441"
"202","A0A1D5RLR6"
"203","D3Z124"
"204","P28665"
"205","P12787"
"206","S4R191"
"207","Q9CQQ7"
"208","Q3TW96"
"209","Q9CZY3"
"210","D3YX62"
"211","Q3U5Q7"
"212","F7D432"
"213","Q8BH59"
"214","Q7TMM9"
"215","A2A6J7"
