"","x"
"1","A0A087WRE7"
"2","A0A0A0MQ68"
"3","A0A0A6YVR9"
"4","A0A0A6YVY4"
"5","A0A0G2JEC4"
"6","A0A0G2JEK2"
"7","A0A0N4SVS6"
"8","A0A0R4J023"
"9","A0A0R4J083"
"10","D6RDT4"
"11","A0A0R4J0I6"
"12","A0A0R4J0R1"
"13","A0A0R4J0T0"
"14","A0A0R4J1B9"
"15","A0A0R4J1H2"
"16","A0A0R4J1I9"
"17","A0A0R4J1J1"
"18","A0A0R4J203"
"19","A0A0R4J275"
"20","A0A0U1RP81"
"21","A0A1B0GQZ1"
"22","A0A1B0GRV0"
"23","Q0PGA1"
"24","A0A1L1SRC3"
"25","A0A1L1STE6"
"26","A0A286YD84"
"27","A0A3B2WBE1"
"28","A0A2R8VHF9"
"29","A0A2R8VHT7"
"30","A0A338P6X2"
"31","A0A3Q4EGT0"
"32","A0A3Q4EGL6"
"33","A0A494BB97"
"34","A2A813"
"35","E9QKA4"
"36","A2AHX7"
"37","A2AJ88"
"38","A2AJX3"
"39","A2AL50"
"40","B7ZCL8"
"41","A2APF7"
"42","A2ARV4"
"43","A4QPD3"
"44","G3UZ30"
"45","Q8JZN1"
"46","B1AQW2"
"47","Z4YKM2"
"48","B1AU25"
"49","E9QAI5"
"50","D3YUM1"
"51","E9PWM4"
"52","D3Z041"
"53","D3Z2J6"
"54","E9PUD0"
"55","D3Z7C0"
"56","D3Z7Q2"
"57","G3X922"
"58","D6RGQ3"
"59","E0CXN5"
"60","E9PV44"
"61","E9PYD5"
"62","E9Q1J7"
"63","E9Q1V3"
"64","E9Q3V2"
"65","E9Q8N8"
"66","E9QMK9"
"67","E9QMX7"
"68","G5E8R3"
"69","E9QPK1"
"70","E9QPX3"
"71","F6QAU7"
"72","F6SQH7"
"73","F7AME8"
"74","F7ARZ1"
"75","F7BJB9"
"76","G3UW41"
"77","G3UYI4"
"78","G3X8S1"
"79","G3X8U3"
"80","G5E850"
"81","H3BJU7"
"82","H9KV01"
"83","J3QP70"
"84","O08749"
"85","O08966"
"86","O09111"
"87","O09172"
"88","O09174"
"89","Q8C391"
"90","O35386"
"91","O54749"
"92","O54824"
"93","O55013"
"94","O55098"
"95","O70172"
"96","Q6ZWQ5"
"97","O88696"
"98","O88844"
"99","O88909"
"100","O89053"
"101","P08249"
"102","P0DN34"
"103","P10852"
"104","P11352"
"105","P12787"
"106","P14246"
"107","P16332"
"108","P17095"
"109","Q9D881"
"110","P19783"
"111","P20108"
"112","P24270"
"113","P31428"
"114","P35486"
"115","P35505"
"116","P36371"
"117","P38060"
"118","P38647"
"119","P42125"
"120","Q9DCW5"
"121","P45952"
"122","P46656"
"123","P46664"
"124","P47199"
"125","P47738"
"126","P50171"
"127","P50285"
"128","P50518"
"129","P50544"
"130","P51660"
"131","P52196"
"132","P52503"
"133","P52825"
"134","P53395"
"135","P53986"
"136","P54071"
"137","Q8BTN3"
"138","P56382"
"139","P56391"
"140","P56480"
"141","P59017"
"142","P61922"
"143","P62737"
"144","P62814"
"145","P63038"
"146","P70315"
"147","P70441"
"148","P85094"
"149","P97333"
"150","P97379"
"151","P97450"
"152","P97465"
"153","P97807"
"154","P99028"
"155","Q03265"
"156","Q04447"
"157","Q04646"
"158","Q04887"
"159","Q06185"
"160","Q07417"
"161","Q2TPA8"
"162","Q3TCD4"
"163","Z4YJY0"
"164","Q3TDD9"
"165","Q3TLP5"
"166","Q3TNA1"
"167","Q3U1Z5"
"168","Q3U3G8"
"169","Q3UEG6"
"170","Q3UI43"
"171","Q3URE1"
"172","Q3UXD9"
"173","Q3UZZ6"
"174","Q3V0K6"
"175","Q5M8N4"
"176","Z4YJV4"
"177","Q61166"
"178","Q61425"
"179","Q61578"
"180","Q62425"
"181","Q62433"
"182","Q64152"
"183","Q64433"
"184","Q64462"
"185","Q6A028"
"186","Q6GQT9"
"187","Q6P3A8"
"188","Q6P8N8"
"189","Q6PB66"
"190","Q6PB93"
"191","Q6PDY2"
"192","Q6PF96"
"193","Q6XPS7"
"194","Q6ZQI3"
"195","Q6ZQM8"
"196","Q78J03"
"197","Q7TNE1"
"198","Q7TNG8"
"199","Q80UM7"
"200","Q80ZS3"
"201","Q810S7"
"202","Q8BFR5"
"203","Q8BGD8"
"204","Q8BGY7"
"205","Q8BH00"
"206","Q8BH95"
"207","Q8BJ64"
"208","Q8BKZ9"
"209","Q8BMF4"
"210","Q8BMS4"
"211","Q8BP40"
"212","Q8BQ47"
"213","Q8BWF0"
"214","Q8BWM0"
"215","Q8BWT1"
"216","Q8C2Q8"
"217","Z4YK42"
"218","Q8CAQ8"
"219","Q8CAY6"
"220","Q8CC88"
"221","Q8CFA2"
"222","Q8CG76"
"223","Q8CGK3"
"224","Q8CHT0"
"225","Q8K003"
"226","Q8K0D5"
"227","Q8K0L3"
"228","Q8K0T0"
"229","Q8K1I7"
"230","Q8K2B3"
"231","Q8K2C6"
"232","Q8K2I3"
"233","Q8QZT1"
"234","Q8R086"
"235","Q8R0F8"
"236","Q8R164"
"237","Q8R4N0"
"238","Q8VCH0"
"239","Q8VCZ9"
"240","Q8VDK1"
"241","Q8VDT9"
"242","Q91V61"
"243","Q91VA0"
"244","Q91VA7"
"245","Q91VD9"
"246","Q91VT4"
"247","Q91WS0"
"248","Q91X52"
"249","Q91XE0"
"250","Q91XE4"
"251","Q91XF0"
"252","Q91Y97"
"253","Q91YP0"
"254","Q91YQ5"
"255","Q91Z53"
"256","Q921H8"
"257","Q921K2"
"258","Q921Z5"
"259","Q922Q1"
"260","Q99J39"
"261","Z4YKT6"
"262","Q99J99"
"263","Q99JR1"
"264","Q99JY0"
"265","Q99K67"
"266","Q99KI0"
"267","Q99L13"
"268","Q99LB2"
"269","Q99LB7"
"270","Q99LC5"
"271","Q99LY9"
"272","Q99M87"
"273","Q99MR8"
"274","Q99N87"
"275","Q9CPQ1"
"276","Q9CPY7"
"277","Q9CQ54"
"278","Q9CQ69"
"279","Q9CQ75"
"280","Q9CQA3"
"281","Q9CQB4"
"282","Q9CQC7"
"283","Q9CQR4"
"284","Q9CQS8"
"285","Q9CQV1"
"286","Q9CQX8"
"287","Q9CQZ5"
"288","Q9CR24"
"289","Q9CR51"
"290","Q9CR68"
"291","Q9CRB9"
"292","Q9CXT8"
"293","Q9CYW4"
"294","Q9CZ13"
"295","Q9CZN7"
"296","Q9CZR8"
"297","Q9CZU6"
"298","Q9D051"
"299","Q9D0K2"
"300","Q9D0S9"
"301","Q9D0T1"
"302","Q9D172"
"303","Q9D1Q6"
"304","Q9D3D9"
"305","Q9D404"
"306","Q9D6J6"
"307","Q9D7J4"
"308","Q9D880"
"309","Q9D8T7"
"310","Q9D937"
"311","Q9DAS9"
"312","Q9DB15"
"313","Q9DB20"
"314","Q9DB77"
"315","Q9DCC7"
"316","Q9DCJ5"
"317","Q9DCM0"
"318","Q9DCS3"
"319","Q9DCW4"
"320","Q9DCX2"
"321","Q9DCY0"
"322","Q9DD18"
"323","Q9EPL9"
"324","Q9EQ20"
"325","Q9ERS2"
"326","Q9ERT9"
"327","Q9JHI5"
"328","Q9JHW2"
"329","Q9JIY7"
"330","Q9JLJ2"
"331","Q9JLQ0"
"332","Q9NYQ2"
"333","Q9QXD1"
"334","Q9QXT0"
"335","Q9QXX4"
"336","Q9QZD8"
"337","Q9R0H0"
"338","Q9R1T4"
"339","Q9WTP6"
"340","Q9WTP7"
"341","Q9WU79"
"342","Q9WUM5"
"343","Q9WUR9"
"344","Q9WV03"
"345","Q9WV69"
"346","Q9WVA2"
"347","Q9WVM8"
"348","Q9Z1P6"
"349","Q9Z2I0"
"350","Q9Z2I8"
"351","Q9Z2I9"
"352","Q9Z2V4"
